away_team,proper_date,home_team,home_team_rank,home_days_rest,home_team_avg_pts_scored,home_team_avg_pts_scored_opp,home_team_win_pct,home_team_win_pct_last10,home_is_top_players,away_team_rank,away_days_rest,away_team_avg_pts_scored,away_team_avg_pts_scored_opp,away_team_win_pct,away_team_win_pct_last10,away_is_top_players,home_team_predicted_win_pct,away_team_predicted_win_pct,outcome,ml_prediction,actual_outcome,ml_accuracy,home_moneyline,away_moneyline,ml_money_col,home_implied_probability,away_implied_probability
Denver Nuggets,2023-05-07,Phoenix Suns,10,1,113.8,111.8,0.549,0.7,1,4,1,115.6,111.8,0.646,0.5,2,0.352,0.648,W,Road Win,Home Win,0,-140.0,120.0,-10.0,0.583,0.455
Boston Celtics,2023-05-07,Philadelphia 76ers,3,1,114.3,110.3,0.659,0.5,2,2,1,118.1,111.4,0.695,0.8,2,0.499,0.501,W,Road Win,Home Win,0,120.0,-140.0,-10.0,0.455,0.583
Golden State Warriors,2023-05-06,Los Angeles Lakers,14,1,116.5,115.7,0.524,0.8,2,12,1,118.7,116.6,0.537,0.8,2,0.5,0.5,W,Home Win,Home Win,1,-150.0,130.0,6.67,0.6,0.435
New York Knicks,2023-05-06,Miami Heat,11,3,110.1,110.1,0.537,0.6,2,8,3,114.9,111.9,0.573,0.5,2,0.461,0.539,W,Road Win,Home Win,0,-170.0,145.0,-10.0,0.63,0.408
Boston Celtics,2023-05-05,Philadelphia 76ers,3,1,114.4,110.2,0.659,0.5,2,2,1,118.2,111.5,0.695,0.8,2,0.501,0.499,L,Home Win,Road Win,0,120.0,-140.0,-10.0,0.455,0.583
Denver Nuggets,2023-05-05,Phoenix Suns,10,3,113.7,111.8,0.549,0.7,1,4,3,115.6,111.7,0.646,0.5,2,0.355,0.645,W,Road Win,Home Win,0,-180.0,155.0,-10.0,0.643,0.392
Los Angeles Lakers,2023-05-04,Golden State Warriors,11,1,118.6,116.8,0.537,0.8,2,14,1,116.7,115.6,0.524,0.8,2,0.581,0.419,W,Home Win,Home Win,1,-240.0,200.0,4.17,0.706,0.333
Philadelphia 76ers,2023-05-03,Boston Celtics,2,1,118.1,111.8,0.695,0.8,2,3,1,114.7,110.1,0.659,0.5,2,0.55,0.45,W,Home Win,Home Win,1,-500.0,400.0,2.0,0.833,0.2
Los Angeles Lakers,2023-05-02,Golden State Warriors,13,1,118.7,116.8,0.537,0.8,2,14,3,116.7,115.6,0.524,0.8,2,0.483,0.517,L,Road Win,Road Win,1,-190.0,160.0,16.0,0.655,0.385
Miami Heat,2023-05-02,New York Knicks,8,1,114.9,112.0,0.573,0.5,2,12,1,110.1,110.1,0.537,0.6,2,0.591,0.409,W,Home Win,Home Win,1,-275.0,230.0,3.64,0.733,0.303
Philadelphia 76ers,2023-05-01,Boston Celtics,2,3,118.2,111.7,0.695,0.8,2,3,8,114.7,110.0,0.659,0.5,2,0.37,0.63,L,Road Win,Road Win,1,-500.0,400.0,40.0,0.833,0.2
Phoenix Suns,2023-05-01,Denver Nuggets,4,1,115.8,112.0,0.646,0.5,2,10,1,114.0,112.0,0.549,0.7,2,0.617,0.383,W,Home Win,Home Win,1,-190.0,160.0,5.26,0.655,0.385
Miami Heat,2023-04-30,New York Knicks,8,3,115.1,112.0,0.573,0.5,2,12,3,110.2,110.2,0.537,0.6,2,0.597,0.403,L,Home Win,Road Win,0,-190.0,160.0,-10.0,0.655,0.385
Golden State Warriors,2023-04-30,Sacramento Kings,7,1,120.4,117.9,0.585,0.5,2,13,1,118.7,117.0,0.537,0.8,2,0.62,0.38,L,Home Win,Road Win,0,-125.0,105.0,-10.0,0.556,0.488
Memphis Grizzlies,2023-04-28,Los Angeles Lakers,14,1,116.6,116.0,0.524,0.8,2,6,1,116.4,112.7,0.622,0.6,2,0.394,0.606,W,Road Win,Home Win,0,-190.0,160.0,-10.0,0.655,0.385
Sacramento Kings,2023-04-28,Golden State Warriors,13,1,118.9,117.0,0.537,0.8,2,7,1,120.4,118.1,0.585,0.5,2,0.434,0.566,L,Road Win,Road Win,1,-305.0,255.0,25.5,0.753,0.282
Boston Celtics,2023-04-27,Atlanta Hawks,17,1,118.2,118.1,0.5,0.5,2,2,1,118.0,111.6,0.695,0.8,2,0.298,0.702,L,Road Win,Road Win,1,215.0,-255.0,3.92,0.317,0.718
Golden State Warriors,2023-04-26,Sacramento Kings,7,2,120.5,118.0,0.585,0.5,2,12,2,118.9,117.0,0.537,0.8,2,0.606,0.394,L,Home Win,Road Win,0,100.0,-120.0,-10.0,0.5,0.545
Miami Heat,2023-04-26,Milwaukee Bucks,1,1,116.9,113.8,0.707,0.6,2,11,1,110.0,110.0,0.537,0.6,2,0.657,0.343,L,Home Win,Road Win,0,-610.0,460.0,-10.0,0.859,0.179
New York Knicks,2023-04-26,Cleveland Cavaliers,5,2,111.4,106.5,0.622,0.7,2,8,2,115.2,112.2,0.573,0.5,2,0.584,0.416,L,Home Win,Road Win,0,-215.0,185.0,-10.0,0.683,0.351
Los Angeles Lakers,2023-04-26,Memphis Grizzlies,6,1,116.4,112.8,0.622,0.6,2,14,1,116.8,116.0,0.524,0.8,2,0.656,0.344,W,Home Win,Home Win,1,-170.0,145.0,5.88,0.63,0.408
Atlanta Hawks,2023-04-25,Boston Celtics,2,1,118.1,111.5,0.695,0.8,2,17,1,118.2,118.1,0.5,0.5,1,0.833,0.167,L,Home Win,Road Win,0,-900.0,625.0,-10.0,0.9,0.138
Minnesota Timberwolves,2023-04-25,Denver Nuggets,4,1,115.7,112.1,0.646,0.5,2,15,1,115.2,115.4,0.512,0.7,2,0.692,0.308,W,Home Win,Home Win,1,-450.0,360.0,2.22,0.818,0.217
Los Angeles Clippers,2023-04-25,Phoenix Suns,9,2,113.9,111.6,0.549,0.7,2,11,2,113.5,113.3,0.537,0.6,0,0.745,0.255,W,Home Win,Home Win,1,-800.0,575.0,1.25,0.889,0.148
Milwaukee Bucks,2023-04-24,Miami Heat,11,1,109.9,109.9,0.537,0.6,2,1,1,117.0,113.7,0.707,0.6,2,0.334,0.666,W,Road Win,Home Win,0,190.0,-225.0,-10.0,0.345,0.692
Memphis Grizzlies,2023-04-24,Los Angeles Lakers,14,1,116.8,116.0,0.524,0.8,2,5,1,116.5,112.8,0.622,0.6,2,0.379,0.621,W,Road Win,Home Win,0,-190.0,160.0,-10.0,0.655,0.385
Cleveland Cavaliers,2023-04-23,New York Knicks,8,1,115.3,112.4,0.573,0.5,2,6,1,111.6,106.5,0.622,0.7,2,0.497,0.503,W,Road Win,Home Win,0,-140.0,120.0,-10.0,0.583,0.455
Sacramento Kings,2023-04-23,Golden State Warriors,13,2,118.8,116.9,0.537,0.8,2,7,2,120.4,117.9,0.585,0.5,2,0.436,0.564,W,Road Win,Home Win,0,-325.0,270.0,-10.0,0.765,0.27
Denver Nuggets,2023-04-23,Minnesota Timberwolves,15,1,115.2,115.5,0.512,0.7,2,4,1,115.8,112.1,0.646,0.5,2,0.34,0.66,W,Road Win,Home Win,0,140.0,-165.0,-10.0,0.417,0.623
Boston Celtics,2023-04-23,Atlanta Hawks,17,1,118.2,118.0,0.5,0.5,2,2,1,117.9,111.4,0.695,0.8,2,0.299,0.701,L,Road Win,Road Win,1,210.0,-250.0,4.0,0.323,0.714
Milwaukee Bucks,2023-04-22,Miami Heat,11,2,109.7,110.1,0.537,0.6,2,1,2,117.2,113.6,0.707,0.6,2,0.333,0.667,W,Road Win,Home Win,0,170.0,-200.0,-10.0,0.37,0.667
Phoenix Suns,2023-04-22,Los Angeles Clippers,12,1,113.7,113.4,0.537,0.6,0,10,1,113.9,111.7,0.549,0.7,2,0.343,0.657,L,Road Win,Road Win,1,250.0,-300.0,3.33,0.286,0.75
Memphis Grizzlies,2023-04-22,Los Angeles Lakers,14,2,116.9,116.2,0.524,0.8,2,5,2,116.7,112.8,0.622,0.6,2,0.381,0.619,W,Road Win,Home Win,0,-180.0,155.0,-10.0,0.643,0.392
Philadelphia 76ers,2023-04-22,Brooklyn Nets,9,1,112.7,112.3,0.549,0.6,2,3,1,114.9,110.3,0.659,0.5,1,0.505,0.495,L,Home Win,Road Win,0,115.0,-135.0,-10.0,0.465,0.574
Denver Nuggets,2023-04-21,Minnesota Timberwolves,15,1,115.2,115.5,0.512,0.7,2,4,1,115.8,112.1,0.646,0.5,2,0.34,0.66,L,Road Win,Road Win,1,115.0,-135.0,7.41,0.465,0.574
Boston Celtics,2023-04-21,Atlanta Hawks,17,2,118.0,117.9,0.5,0.5,2,2,2,117.9,111.2,0.695,0.8,2,0.3,0.7,W,Road Win,Home Win,0,175.0,-205.0,-10.0,0.364,0.672
Cleveland Cavaliers,2023-04-21,New York Knicks,8,2,115.5,112.8,0.573,0.5,2,5,2,112.0,106.6,0.622,0.7,2,0.479,0.521,W,Road Win,Home Win,0,-130.0,110.0,-10.0,0.565,0.476
Phoenix Suns,2023-04-20,Los Angeles Clippers,11,1,113.5,113.2,0.537,0.6,1,10,1,113.7,111.6,0.549,0.7,2,0.423,0.577,L,Road Win,Road Win,1,120.0,-140.0,7.14,0.455,0.583
Sacramento Kings,2023-04-20,Golden State Warriors,13,2,118.8,117.1,0.537,0.8,2,7,2,120.7,118.0,0.585,0.5,2,0.435,0.565,W,Road Win,Home Win,0,-230.0,195.0,-10.0,0.697,0.339
Philadelphia 76ers,2023-04-20,Brooklyn Nets,9,2,112.9,112.4,0.549,0.6,2,3,2,115.1,110.5,0.659,0.5,2,0.404,0.596,L,Road Win,Road Win,1,165.0,-195.0,5.13,0.377,0.661
Miami Heat,2023-04-19,Milwaukee Bucks,1,2,116.9,113.5,0.707,0.6,2,11,2,109.6,109.7,0.537,0.6,2,0.662,0.338,W,Home Win,Home Win,1,-240.0,200.0,4.17,0.706,0.333
Minnesota Timberwolves,2023-04-19,Denver Nuggets,4,2,115.7,112.1,0.646,0.5,2,15,2,115.2,115.4,0.512,0.7,2,0.694,0.306,W,Home Win,Home Win,1,-350.0,290.0,2.86,0.778,0.256
Los Angeles Lakers,2023-04-19,Memphis Grizzlies,5,2,116.9,113.1,0.622,0.6,2,14,2,117.2,116.4,0.524,0.8,2,0.671,0.329,W,Home Win,Home Win,1,-105.0,-115.0,9.52,0.512,0.535
Los Angeles Clippers,2023-04-18,Phoenix Suns,10,1,113.6,111.6,0.549,0.7,2,12,1,113.6,113.0,0.537,0.6,1,0.658,0.342,W,Home Win,Home Win,1,-320.0,265.0,3.13,0.762,0.274
Atlanta Hawks,2023-04-18,Boston Celtics,2,2,117.9,111.3,0.695,0.8,2,17,2,118.2,117.9,0.5,0.5,2,0.767,0.233,W,Home Win,Home Win,1,-520.0,410.0,1.92,0.839,0.196
New York Knicks,2023-04-18,Cleveland Cavaliers,6,2,112.1,106.8,0.622,0.7,2,8,2,115.8,112.9,0.573,0.5,2,0.576,0.424,W,Home Win,Home Win,1,-210.0,180.0,4.76,0.677,0.357
Brooklyn Nets,2023-04-17,Philadelphia 76ers,3,1,115.3,110.8,0.659,0.5,2,10,1,113.2,112.6,0.549,0.6,2,0.632,0.368,W,Home Win,Home Win,1,-500.0,400.0,2.0,0.833,0.2
Golden State Warriors,2023-04-17,Sacramento Kings,7,1,120.8,118.1,0.585,0.5,2,12,1,119.0,117.2,0.537,0.8,2,0.605,0.395,W,Home Win,Home Win,1,100.0,-120.0,10.0,0.5,0.545
Los Angeles Lakers,2023-04-16,Memphis Grizzlies,5,6,116.9,112.9,0.622,0.6,2,14,4,117.1,116.4,0.524,0.8,2,0.742,0.258,L,Home Win,Road Win,0,-175.0,150.0,-10.0,0.636,0.4
Los Angeles Clippers,2023-04-16,Phoenix Suns,10,6,113.6,111.6,0.549,0.7,2,13,6,113.6,113.1,0.537,0.6,1,0.683,0.317,L,Home Win,Road Win,0,-300.0,250.0,-10.0,0.75,0.286
Minnesota Timberwolves,2023-04-16,Denver Nuggets,4,6,115.8,112.5,0.646,0.5,2,15,1,115.7,115.5,0.512,0.7,2,0.832,0.168,W,Home Win,Home Win,1,-315.0,260.0,3.17,0.759,0.278
Miami Heat,2023-04-16,Milwaukee Bucks,1,6,116.9,113.3,0.707,0.6,1,12,1,109.3,109.6,0.537,0.6,2,0.778,0.222,L,Home Win,Road Win,0,-425.0,340.0,-10.0,0.81,0.227
Atlanta Hawks,2023-04-15,Boston Celtics,2,5,117.9,111.4,0.695,0.8,2,17,3,118.4,118.0,0.5,0.5,2,0.82,0.18,W,Home Win,Home Win,1,-410.0,330.0,2.44,0.804,0.233
Brooklyn Nets,2023-04-15,Philadelphia 76ers,3,5,115.2,110.9,0.659,0.5,2,9,5,113.4,112.5,0.549,0.6,2,0.621,0.379,W,Home Win,Home Win,1,-365.0,300.0,2.74,0.785,0.25
Golden State Warriors,2023-04-15,Sacramento Kings,7,5,120.7,118.1,0.585,0.5,2,13,5,118.9,117.0,0.537,0.8,1,0.722,0.278,W,Home Win,Home Win,1,-110.0,-110.0,9.09,0.524,0.524
New York Knicks,2023-04-15,Cleveland Cavaliers,6,5,112.3,106.9,0.622,0.7,2,8,5,116.0,113.1,0.573,0.5,2,0.583,0.417,L,Home Win,Road Win,0,-200.0,170.0,-10.0,0.667,0.37
Chicago Bulls,2023-04-14,Miami Heat,11,2,109.4,109.9,0.537,0.6,2,20,1,113.1,111.7,0.488,0.6,2,0.696,0.304,W,Home Win,Home Win,1,-215.0,185.0,4.65,0.683,0.351
Oklahoma City Thunder,2023-04-14,Minnesota Timberwolves,16,2,115.6,115.7,0.512,0.7,2,19,1,117.5,116.4,0.488,0.4,2,0.629,0.371,W,Home Win,Home Win,1,-215.0,185.0,4.65,0.683,0.351
San Antonio Spurs,2023-04-09,Dallas Mavericks,21,1,114.2,113.9,0.469,0.2,0,28,0,112.7,123.1,0.259,0.2,1,0.661,0.339,L,Home Win,Road Win,0,-190.0,160.0,-10.0,0.655,0.385
Memphis Grizzlies,2023-04-09,Oklahoma City Thunder,20,2,117.5,116.6,0.481,0.4,2,5,1,117.1,112.9,0.63,0.7,2,0.351,0.649,W,Road Win,Home Win,0,110.0,-130.0,-10.0,0.476,0.565
Sacramento Kings,2023-04-09,Denver Nuggets,4,0,115.9,112.7,0.642,0.5,2,7,1,121.0,118.2,0.593,0.5,2,0.518,0.482,W,Home Win,Home Win,1,115.0,-135.0,11.5,0.465,0.574
Utah Jazz,2023-04-09,Los Angeles Lakers,15,1,117.0,116.6,0.519,0.8,2,22,0,117.1,117.9,0.457,0.2,1,0.771,0.229,W,Home Win,Home Win,1,-1650.0,950.0,0.61,0.943,0.095
Charlotte Hornets,2023-04-09,Cleveland Cavaliers,6,2,112.5,106.9,0.63,0.7,0,27,1,111.0,117.5,0.321,0.4,0,0.884,0.116,L,Home Win,Road Win,0,-210.0,180.0,-10.0,0.677,0.357
New Orleans Pelicans,2023-04-09,Minnesota Timberwolves,16,0,115.8,115.9,0.506,0.6,2,14,1,114.4,112.5,0.519,0.8,1,0.568,0.432,W,Home Win,Home Win,1,-155.0,135.0,6.45,0.608,0.426
Los Angeles Clippers,2023-04-09,Phoenix Suns,10,1,113.6,111.5,0.556,0.7,-1,13,0,113.5,113.1,0.531,0.6,1,0.502,0.498,L,Home Win,Road Win,0,470.0,-625.0,-10.0,0.175,0.862
Milwaukee Bucks,2023-04-09,Toronto Raptors,18,1,112.8,111.5,0.494,0.5,0,1,1,117.1,113.2,0.716,0.7,0,0.332,0.668,W,Road Win,Home Win,0,-155.0,135.0,-10.0,0.608,0.426
Golden State Warriors,2023-04-09,Portland Trail Blazers,26,0,113.5,116.9,0.407,0.2,-1,12,1,118.5,117.3,0.531,0.7,1,0.2,0.8,L,Road Win,Road Win,1,900.0,-1500.0,0.67,0.1,0.938
Orlando Magic,2023-04-09,Miami Heat,11,1,109.3,109.8,0.531,0.5,2,24,1,111.4,113.9,0.42,0.5,2,0.715,0.285,W,Home Win,Home Win,1,-200.0,170.0,5.0,0.667,0.37
Atlanta Hawks,2023-04-09,Boston Celtics,2,1,117.9,111.4,0.691,0.7,1,17,1,118.5,118.1,0.506,0.6,0,0.85,0.15,W,Home Win,Home Win,1,-260.0,220.0,3.85,0.722,0.313
Philadelphia 76ers,2023-04-09,Brooklyn Nets,9,1,113.5,112.2,0.556,0.6,2,3,1,115.0,111.0,0.654,0.5,0,0.616,0.384,L,Home Win,Road Win,0,-175.0,150.0,-10.0,0.636,0.4
Detroit Pistons,2023-04-09,Chicago Bulls,19,1,113.2,112.2,0.481,0.5,2,30,1,110.7,118.7,0.21,0.1,1,0.802,0.198,W,Home Win,Home Win,1,-295.0,245.0,3.39,0.747,0.29
Indiana Pacers,2023-04-09,New York Knicks,8,1,115.8,112.8,0.58,0.6,0,25,1,116.0,119.3,0.42,0.2,1,0.755,0.245,L,Home Win,Road Win,0,-350.0,290.0,-10.0,0.778,0.256
Houston Rockets,2023-04-09,Washington Wizards,23,1,113.2,114.4,0.432,0.3,0,29,1,110.7,118.7,0.259,0.3,1,0.612,0.388,L,Home Win,Road Win,0,130.0,-150.0,-10.0,0.435,0.6
Denver Nuggets,2023-04-08,Utah Jazz,22,1,117.1,117.9,0.45,0.2,1,4,1,115.9,112.6,0.65,0.5,2,0.211,0.789,W,Road Win,Home Win,0,230.0,-275.0,-10.0,0.303,0.733
Portland Trail Blazers,2023-04-08,Los Angeles Clippers,13,2,113.2,112.9,0.525,0.5,1,26,1,113.3,116.7,0.413,0.2,-1,0.894,0.106,W,Home Win,Home Win,1,-1650.0,950.0,0.61,0.943,0.095
Minnesota Timberwolves,2023-04-08,San Antonio Spurs,28,1,112.5,122.8,0.263,0.3,2,17,3,115.4,115.7,0.5,0.5,2,0.245,0.755,L,Road Win,Road Win,1,700.0,-1050.0,0.95,0.125,0.913
Houston Rockets,2023-04-07,Charlotte Hornets,27,2,111.0,117.5,0.325,0.4,0,29,2,110.7,118.8,0.25,0.2,2,0.404,0.596,L,Road Win,Road Win,1,120.0,-140.0,7.14,0.455,0.583
Chicago Bulls,2023-04-07,Dallas Mavericks,20,1,114.2,113.8,0.475,0.3,2,21,1,113.2,112.2,0.475,0.5,2,0.585,0.415,L,Home Win,Road Win,0,-475.0,380.0,-10.0,0.826,0.208
Golden State Warriors,2023-04-07,Sacramento Kings,7,1,121.3,118.2,0.6,0.5,2,12,2,118.5,117.6,0.525,0.6,1,0.67,0.33,L,Home Win,Road Win,0,250.0,-300.0,-10.0,0.286,0.75
Toronto Raptors,2023-04-07,Boston Celtics,2,1,117.9,111.5,0.688,0.7,2,17,1,112.9,111.3,0.5,0.6,2,0.768,0.232,W,Home Win,Home Win,1,-140.0,120.0,7.14,0.583,0.455
New York Knicks,2023-04-07,New Orleans Pelicans,16,1,114.5,112.6,0.513,0.8,1,8,1,115.9,112.8,0.588,0.7,0,0.555,0.445,W,Home Win,Home Win,1,-320.0,265.0,3.13,0.762,0.274
Miami Heat,2023-04-07,Washington Wizards,24,1,113.2,114.5,0.425,0.2,0,11,0,109.3,109.7,0.538,0.6,2,0.249,0.751,W,Road Win,Home Win,0,185.0,-215.0,-10.0,0.351,0.683
Orlando Magic,2023-04-07,Brooklyn Nets,10,1,113.6,112.6,0.55,0.5,2,25,0,111.8,114.0,0.425,0.6,2,0.78,0.22,W,Home Win,Home Win,1,-800.0,575.0,1.25,0.889,0.148
Memphis Grizzlies,2023-04-07,Milwaukee Bucks,1,1,117.1,112.9,0.725,0.8,0,6,1,116.9,112.8,0.625,0.7,2,0.447,0.553,L,Road Win,Road Win,1,230.0,-275.0,3.64,0.303,0.733
Detroit Pistons,2023-04-07,Indiana Pacers,23,1,116.0,119.2,0.425,0.2,1,30,1,110.5,118.8,0.2,0.0,1,0.677,0.323,L,Home Win,Road Win,0,-275.0,230.0,-10.0,0.733,0.303
Phoenix Suns,2023-04-07,Los Angeles Lakers,15,1,117.0,116.7,0.513,0.7,2,9,0,113.7,111.4,0.563,0.7,2,0.467,0.533,W,Road Win,Home Win,0,-360.0,295.0,-10.0,0.783,0.253
Philadelphia 76ers,2023-04-07,Atlanta Hawks,14,1,118.3,117.9,0.513,0.6,2,4,0,114.7,110.7,0.65,0.4,2,0.396,0.604,L,Road Win,Road Win,1,-425.0,340.0,34.0,0.81,0.227
Denver Nuggets,2023-04-06,Phoenix Suns,9,1,113.7,111.3,0.557,0.7,2,4,1,115.9,112.5,0.658,0.6,2,0.435,0.565,W,Road Win,Home Win,0,-280.0,235.0,-10.0,0.737,0.299
Cleveland Cavaliers,2023-04-06,Orlando Magic,23,1,112.0,114.0,0.43,0.6,2,6,1,112.4,107.1,0.625,0.7,0,0.471,0.529,L,Road Win,Road Win,1,-300.0,250.0,25.0,0.75,0.286
Oklahoma City Thunder,2023-04-06,Utah Jazz,22,1,117.3,118.0,0.456,0.3,1,21,1,117.6,116.8,0.475,0.4,2,0.476,0.524,L,Road Win,Road Win,1,210.0,-250.0,4.0,0.323,0.714
Portland Trail Blazers,2023-04-06,San Antonio Spurs,28,1,112.3,122.7,0.253,0.2,2,26,1,113.1,116.5,0.418,0.2,-1,0.745,0.255,W,Home Win,Home Win,1,-135.0,115.0,7.41,0.574,0.465
Miami Heat,2023-04-06,Philadelphia 76ers,3,1,114.9,110.5,0.658,0.5,2,11,1,109.1,109.8,0.532,0.6,2,0.646,0.354,L,Home Win,Road Win,0,-150.0,130.0,-10.0,0.6,0.435
Washington Wizards,2023-04-05,Atlanta Hawks,16,0,118.1,117.9,0.506,0.6,1,23,0,113.2,114.2,0.43,0.2,0,0.77,0.23,W,Home Win,Home Win,1,-560.0,430.0,1.79,0.848,0.189
